Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.011146208,-1.068858862,-1.030727506,-0.270633548,1.509337926
0.021179208,-1.270006299,-1.32920897,-0.29798767,1.862393389
0.031212583,-1.43994081,-1.572959065,-0.314045519,2.155517188
0.041245583,-1.602283359,-1.720923424,-0.367120475,2.379845969
0.051278583,-1.740832925,-1.559964657,-0.46957922,2.384217617
0.061311583,-1.835500836,-1.375629187,-0.565383255,2.36243036
0.071344583,-1.883252263,-1.240422964,-0.519821703,2.314195934
0.081377583,-1.863642335,-1.415516138,-0.323787749,2.362559459
0.091411583,-1.762401938,-1.681240797,-0.025864005,2.435836644
0.101444583,-1.586034894,-1.751351953,0.303632677,2.382211819
0.111477583,-1.346159458,-1.588783503,0.562140286,2.156937645
0.121510583,-1.077388406,-1.25594902,0.721200764,1.805077356
0.131543583,-0.847660124,-0.864216447,0.821124196,1.462751756
0.141576583,-0.725822866,-0.575286627,0.928371012,1.31135284
0.151609583,-0.685718775,-0.328005105,1.040941834,1.288936573
0.161642583,-0.67594099,-0.1207041,1.076171756,1.276562317
0.171675583,-0.631764948,0.043589842,1.043818712,1.22089497
0.181708583,-0.508621693,0.203213319,0.972307742,1.115963272
0.191741583,-0.330075055,0.377168775,0.90575105,1.035176695
0.201774583,-0.114798725,0.670365751,0.850841761,1.089266124
0.211807583,0.082798794,1.078261018,0.784416735,1.335968591
0.221840583,0.227582604,1.472888231,0.718592703,1.654560079
0.231873583,0.289791793,1.502792597,0.663330138,1.668044287
0.241906583,-0.029086333,-0.245230719,0.235227272,0.341051301
0.251939583,-0.089117534,-0.516096056,-0.13556841,0.540995256
0.261972583,-0.025576111,-0.541000605,-0.361984253,0.651435638
0.272005583,0.029585985,-0.57238549,-0.553907096,0.797065588
0.282038583,0.094046734,-0.56208837,-0.749781311,0.941785611
0.292071583,0.136830375,-0.754370272,-0.858709157,1.151163965
0.302104583,0.13559626,-0.879066646,-0.879991531,1.251211257
0.312137583,0.058722701,-0.896283686,-0.862455785,1.24523202
0.322170583,-0.018169684,-0.850863457,-0.779402971,1.154022422
0.332203583,-0.030959297,-0.507647574,-0.523315847,0.729742429
0.342236583,0.0363774,0.084915102,-0.17535919,0.198203772
0.352269583,0.165766627,0.382077843,0.112894945,0.431517463
0.362302583,0.295403421,0.397160679,0.250769734,0.554874081
0.372335583,0.433901519,0.409728795,0.219239801,0.635778502
0.382368583,0.465276748,0.371779025,0.130036145,0.609599454
0.392401583,0.28399986,0.215619445,0.146486178,0.385494314
0.402434583,0.013128675,-0.00262128,0.211802334,0.212225026
0.412467583,-0.257797331,-0.234051108,0.223915964,0.413977951
0.422500583,-0.451274902,-0.141803473,0.320328802,0.571286096
0.432533583,-0.584555507,0.114147723,0.416587323,0.726828618
0.442566583,-0.586267889,0.247343332,0.437189281,0.772025406
0.452599583,-0.518361926,0.34692049,0.43725127,0.761735903
0.462632583,-0.435373813,0.364525855,0.394209802,0.691253082
0.472665583,-0.371035367,0.326792985,0.314569503,0.586016101
0.482698583,-0.351497352,0.230736494,0.168724418,0.453053691
0.492731583,-0.358862817,0.049659394,0.027509836,0.36332543
0.502764583,-0.380613923,-0.147027835,-0.034265645,0.409460959
0.512797583,-0.415041864,-0.25934872,0.003526183,0.489422048
0.522830583,-0.487561345,-0.264442831,0.065238014,0.558481938
0.532863583,-0.587881744,-0.260296941,0.068048686,0.646521512
0.542896583,-0.710449159,-0.291654617,0.020871319,0.768268205
0.552929583,-0.839943945,-0.353877962,-0.032210484,0.912015876
0.562962583,-0.960151076,-0.377688199,-0.071284115,1.034224294
0.572995583,-1.058395386,-0.349100679,-0.089884065,1.118101615
0.583028583,-1.118081331,-0.194783285,-0.1319471,1.142565722
0.593061583,-1.126822114,0.016207431,-0.15466848,1.137503009
0.603094583,-1.077656746,0.278252363,-0.137327313,1.121439803
0.613127583,-0.95782131,0.547740459,-0.091291398,1.107147412
0.623160583,-0.790950537,0.644940257,-0.012314023,1.020638193
0.633193583,-0.567758083,0.549387932,0.091218799,0.795296932
0.643226583,-0.294756621,0.428036213,0.216444373,0.562978358
0.653259583,-0.006897695,0.255597293,0.302159071,0.395825288
0.663292583,0.243288979,0.02510681,0.32275492,0.40495755
0.673325583,0.387492687,-0.142597288,0.312674344,0.517928387
0.683358583,0.377740204,-0.227828309,0.254376143,0.509215694
0.693391583,0.259391636,-0.171756342,0.148427203,0.344695367
0.703424583,0.078241535,0.026356205,0.012424895,0.083491109
0.713457583,-0.111981839,0.34138751,-0.172643617,0.398611569
0.723490583,-0.288775772,0.67436409,-0.419229448,0.844932957
0.733523583,-0.434526324,1.024937153,-0.689098358,1.309261563
0.743556583,-0.548085093,1.305559874,-0.895171881,1.675176573
0.753589583,-0.598891318,1.484870076,-0.984341919,1.879478377
0.763622583,-0.594945312,1.499255419,-0.940239668,1.867023666
0.773655583,-0.550548911,1.313067317,-0.788478434,1.627558946
0.783688583,-0.495782048,0.952557564,-0.568906128,1.215244804
0.793721583,-0.438534558,0.53556931,-0.332638472,0.767981378
0.803754583,-0.398371696,0.207749903,-0.203227222,0.493113916
0.813787583,-0.340762496,0.134095609,-0.247155696,0.441799331
0.823820583,-0.234987855,0.178568542,-0.404884607,0.501036487
0.833853583,-0.077773713,0.201504648,-0.56750536,0.607219241
0.843886583,0.112023912,0.11965584,-0.674799323,0.694421344
0.853919583,0.324173063,-0.076561712,-0.675575554,0.753227854
0.863952583,0.518354595,-0.292268455,-0.588039577,0.836601984
0.873985583,0.680309832,-0.517001987,-0.442046493,0.962038265
0.884018583,0.782379985,-0.658792913,-0.259694248,1.055257147
0.894051583,0.824331045,-0.657478094,-0.080369629,1.057477373
0.904084583,0.775784791,-0.834197998,-0.008256286,1.13920872
0.914117583,0.642626643,-0.978532195,-0.081232823,1.173496072
0.924150583,0.436162949,-1.009073615,-0.184631914,1.114700239
0.934183583,0.157100022,-0.950790107,-0.279989868,1.003532048
0.944216583,-0.221427053,-0.854637444,-0.333108217,0.943608067
0.954249583,-0.675408423,-0.774712801,-0.312139452,1.074145008
0.964282583,-1.12575686,-0.679712534,-0.166628093,1.325557452
0.974315583,-1.491623163,-0.576621652,0.068553761,1.600666051
0.984348583,-1.737292647,-0.5292781,0.27969262,1.837538846
0.994381583,-1.83335948,-0.555015624,0.400906771,1.957032336
1.004414583,-1.765444398,-0.574863136,0.422693014,1.904187735
1.014447583,-1.533733249,-0.558211148,0.366993934,1.67290822
1.024479625,-1.169636607,-0.512004495,0.270254076,1.30508071
1.034512625,-0.725067079,-0.431424946,0.157936782,0.858366926
1.044545625,-0.231494904,-0.306140244,0.004552286,0.38383911
1.054578625,0.302790731,-0.215331942,-0.145193845,0.398912678
1.064611625,0.821172953,-0.240735561,-0.220672891,0.883727986
1.074644625,1.271670699,-0.246015549,-0.166563556,1.305914789
1.084677625,1.593462348,-0.243586749,-0.013215804,1.612027114
1.094710625,1.779910445,-0.206995934,0.131446779,1.796721115
1.104743625,1.855918169,-0.122192092,0.200481504,1.870710023
1.114776625,1.837604165,-0.043182548,0.186063737,1.847504672
1.124809625,1.744837523,0.022803128,0.145836964,1.751070068
1.134842625,1.575835228,0.132371575,0.131067812,1.586807383
1.144875625,1.335475326,0.269203454,0.106634639,1.366504955
1.154908625,1.039214373,0.42433241,0.065413482,1.124412482
1.164941625,0.702807307,0.538592875,0.021539237,0.885711203
1.174974625,0.360858053,0.582455814,0.01343485,0.685312925
1.185007625,0.033618949,0.588169873,-0.013103551,0.589275603
1.195040625,-0.261152029,0.552763343,-0.101040408,0.619642526
1.205073625,-0.531686604,0.560994387,-0.218346268,0.803168998
