"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.000958333e-2,-2.050365061e-1,-1.457255006e0,3.245212734e-1,1.506965885e0
2.004158334e-2,-2.271926850e-1,-1.254107118e0,1.774131507e-1,1.286808690e0
3.007458334e-2,-2.197094709e-1,-9.357594252e-1,-7.408645004e-2,9.640574441e-1
4.010758334e-2,-2.508291602e-1,-5.393792391e-1,-3.835203946e-1,7.077662921e-1
5.014058333e-2,-3.989696503e-1,-2.120919526e-1,-6.990245581e-1,8.323431450e-1
6.017358333e-2,-7.191569209e-1,-2.005750090e-1,-9.383859038e-1,1.199160171e0
7.020658334e-2,-1.036428571e0,-3.843235373e-1,-9.972284436e-1,1.488742198e0
8.023958334e-2,-1.282745600e0,-3.038315773e-1,-9.519796968e-1,1.626042817e0
9.027158334e-2,-1.529360414e0,-3.078337908e-1,-7.714439631e-1,1.740353615e0
1.003045833e-1,-1.801270485e0,-5.434736013e-1,-4.306142032e-1,1.930121112e0
1.103375833e-1,-2.026369333e0,-6.915155053e-1,6.002276205e-3,2.141121761e0
1.203705833e-1,-2.115668058e0,-6.141169667e-1,4.451757371e-1,2.247525844e0
1.304035833e-1,-2.050841570e0,-4.485253692e-1,8.293060660e-1,2.257182913e0
1.404365833e-1,-1.856954098e0,-3.614937067e-1,1.128528357e0,2.202846448e0
1.504695833e-1,-1.571181178e0,-3.809859157e-1,1.327998042e0,2.092209206e0
1.605025833e-1,-1.197000742e0,-3.049805164e-1,1.382423520e0,1.853892845e0
1.705345833e-1,-7.677489519e-1,-1.626989990e-1,1.268533707e0,1.491672612e0
1.805675833e-1,-3.295627236e-1,-7.401043922e-2,1.068109035e0,1.120243744e0
1.906005833e-1,7.662818581e-2,2.848336007e-4,8.855821490e-1,8.888912772e-1
2.006335833e-1,4.112676978e-1,-4.503635690e-3,7.341847420e-1,8.415394449e-1
2.106665833e-1,6.687226892e-1,-4.007955790e-1,4.993786216e-1,9.258542751e-1
2.206995833e-1,8.149725199e-1,-5.635075569e-1,2.891852260e-1,1.032157483e0
2.307325833e-1,7.196912169e-1,-8.115090728e-1,7.899365574e-2,1.087539618e0
2.407655833e-1,4.437968135e-1,-1.190384150e0,-9.341581166e-2,1.273851070e0
2.507975833e-1,1.261589378e-1,-1.388392329e0,-1.536043137e-1,1.402548973e0
2.608305833e-1,-2.557519972e-1,-1.406076312e0,-1.314461678e-1,1.435178656e0
2.708635833e-1,-6.563409567e-1,-1.258137703e0,-6.588180363e-2,1.420575356e0
2.808965833e-1,-1.031229973e0,-1.010042787e0,5.167910457e-2,1.444400366e0
2.909295833e-1,-1.342763543e0,-6.337990761e-1,1.234086901e-1,1.489947954e0
3.009625833e-1,-1.558173895e0,-1.709879488e-1,8.845680207e-2,1.570021456e0
3.109955833e-1,-1.658844352e0,2.364541292e-1,-1.295451075e-2,1.675661946e0
3.210275833e-1,-1.633974314e0,4.556228220e-1,-1.172231436e-1,1.700354516e0
3.310605833e-1,-1.511687279e0,4.910188913e-1,-1.641866565e-1,1.597890872e0
3.410935833e-1,-1.271255136e0,3.497996926e-1,-2.330910712e-1,1.338947681e0
3.511265833e-1,-9.500955939e-1,2.101192772e-1,-2.837798297e-1,1.013589039e0
3.611595833e-1,-6.083789468e-1,-5.892315879e-3,-2.744010985e-1,6.674246213e-1
3.711925833e-1,-2.888334394e-1,-3.136757016e-1,-2.148315161e-1,4.774618119e-1
3.812255833e-1,-1.878176071e-2,-6.922723651e-1,-1.452666819e-1,7.075988912e-1
3.912585833e-1,1.351558715e-1,-1.145388961e0,-1.050249860e-1,1.158107607e0
4.012905833e-1,2.491915226e-1,-1.429431200e0,-7.889673859e-2,1.453132708e0
4.113235833e-1,4.144909978e-1,-1.362970710e0,-3.352552652e-2,1.424996808e0
4.213565833e-1,5.360338688e-1,-1.148859859e0,3.547930717e-2,1.268254732e0
4.313895833e-1,5.779562593e-1,-8.246556520e-1,1.855484247e-1,1.023971972e0
4.414225833e-1,5.053680539e-1,-8.058362603e-1,3.469436467e-1,1.012491404e0
4.514555833e-1,3.403950334e-1,-1.154940724e0,4.542732835e-1,1.286903676e0
4.614885833e-1,1.214743033e-1,-1.607924223e0,4.752309322e-1,1.681077259e0
4.715205833e-1,-9.860320389e-2,-1.865431905e0,3.967736661e-1,1.909708911e0
4.815535833e-1,-2.957762480e-1,-1.858975172e0,2.924028933e-1,1.904933524e0
4.915865833e-1,-4.320723116e-1,-1.637557268e0,1.747433841e-1,1.702590831e0
5.016195833e-1,-5.284677744e-1,-1.253754497e0,2.943650819e-2,1.360898613e0
5.116525833e-1,-5.985137224e-1,-8.404258490e-1,-1.459134817e-1,1.042029284e0
5.216855833e-1,-6.597779989e-1,-4.148774743e-1,-3.005470932e-1,8.353196285e-1
5.317185833e-1,-7.362666726e-1,-4.561795667e-2,-3.309172690e-1,8.085022264e-1
5.417515833e-1,-7.813096642e-1,3.030921221e-1,-2.975866199e-1,8.893072710e-1
5.517835833e-1,-7.990508080e-1,6.634932160e-1,-2.183165550e-1,1.061304650e0
5.618165833e-1,-7.938430309e-1,1.021396518e0,-1.178853810e-1,1.298974429e0
